,imdb,metascore,movie,votes,year,n_imdb
0,8.0,65,Deadpool,721777,2016,80.0
1,6.6,44,Batman v Superman: L'aube de la justice,531623,2016,66.0
2,7.8,75,Captain America: Civil War,495765,2016,78.0
3,6.1,40,Suicide Squad,476305,2016,61.0
4,7.9,81,Premier contact,447178,2016,79.0
5,7.8,65,Rogue One: A Star Wars story,422312,2016,78.0
6,7.5,72,Doctor Strange,413862,2016,75.0
7,8.1,93,La La Land,370799,2016,81.0
8,8.0,78,Zootopie,343579,2016,80.0
9,7.0,52,X-Men: Apocalypse,317938,2016,70.0
10,8.2,71,Tu ne tueras point,316908,2016,82.0
11,7.4,66,Les animaux fantastiques,302570,2016,74.0
12,7.0,41,Passengers,272365,2016,70.0
13,7.3,62,Split,262095,2016,73.0
14,7.2,76,10 Cloverfield Lane,235624,2016,72.0
15,7.5,77,Le Livre de la jungle,224350,2016,75.0
16,7.4,70,The Nice Guys,213590,2016,74.0
17,7.4,51,Mr Wolff,210261,2016,74.0
18,6.9,32,Warcraft: Le commencement,209629,2016,69.0
19,7.1,68,Star Trek: Sans limites,193466,2016,71.0
20,7.4,99,Moonlight,192860,2016,74.0
21,7.3,77,Le monde de Dory,190343,2016,73.0
22,6.5,46,Insaisissables 2,189273,2016,65.0
23,7.6,81,"Vaiana, la légende du bout du monde",188942,2016,76.0
24,7.8,96,Manchester by the Sea,187187,2016,78.0
25,7.5,67,Nocturnal Animals,176607,2016,75.0
26,7.5,74,Sully,176611,2016,75.0
27,6.6,58,Jason Bourne,174664,2016,66.0
28,5.3,60,SOS Fantômes,167506,2016,53.0
29,7.4,65,Conjuring 2: Le cas Enfield,165911,2016,74.0
30,6.0,49,La promesse,160922,2016,60.0
31,8.1,69,Lion,158760,2016,81.0
32,7.1,71,Don't Breathe - la maison des ténèbres,158312,2016,71.0
33,7.6,88,Comancheria,152675,2016,76.0
34,6.9,54,Les sept mercenaires,152255,2016,69.0
35,5.8,36,Assassin's Creed,151414,2016,58.0
36,7.8,74,Les figures de l'ombre,148448,2016,78.0
37,6.5,61,Comme des bêtes,144712,2016,65.0
38,5.2,32,Independence Day: Resurgence,144573,2016,52.0
39,7.4,51,Avant toi,144314,2016,74.0
40,6.2,66,Sausage Party: La vie privée des aliments,143807,2016,62.0
41,7.9,72,Captain Fantastic,138407,2016,79.0
42,6.3,44,Tarzan,137458,2016,63.0
43,7.1,57,War Dogs,136296,2016,71.0
44,6.5,48,La fille du train,132590,2016,65.0
45,6.7,57,Miss Peregrine et les enfants particuliers,127924,2016,67.0
46,6.2,42,Inferno,122111,2016,62.0
47,7.2,68,Deepwater,118689,2016,72.0
48,6.3,52,Agents presque secrets,117698,2016,63.0
49,5.9,28,La chute de Londres,114460,2016,59.0
50,7.1,60,Alliés,109448,2016,71.0
51,7.3,58,Snowden,103949,2016,73.0
52,7.1,66,Kung Fu Panda 3,102721,2016,71.0
53,6.1,47,Jack Reacher: Never Go Back,102658,2016,61.0
54,6.3,72,"Ave, César!",102037,2016,63.0
55,6.0,42,La Grande Muraille,97815,2016,60.0
56,7.1,59,Tous en scène,97573,2016,71.0
57,6.3,59,Instinct de survie,94226,2016,63.0
58,7.3,48,13 Hours,92181,2016,73.0
59,7.8,84,Kubo et l'armure magique,92173,2016,78.0
60,8.4,79,Your Name,91829,2016,84.0
61,5.7,58,Nos pires voisins 2,91174,2016,57.0
62,6.6,58,Nerve,90686,2016,66.0
63,5.9,21,Dirty Papy,90547,2016,59.0
64,6.2,60,Bad Moms,89584,2016,62.0
65,6.3,58,Dans le noir,88926,2016,63.0
66,7.5,72,Dernier train pour Busan,87347,2016,75.0
67,5.4,25,Gods of Egypt,85699,2016,54.0
68,5.7,33,Divergente 3: Au-delà du mur,84264,2016,57.0
69,5.2,33,La 5ème vague,83398,2016,52.0
70,7.2,66,Le fondateur,80692,2016,72.0
71,7.0,64,Swiss Army Man,79840,2016,70.0
72,6.2,39,The Boyfriend: Pourquoi lui?,79360,2016,62.0
73,6.5,55,Money Monster,79132,2016,65.0
74,6.1,35,Le chasseur et la reine des glaces,78237,2016,61.0
75,7.2,79,Silence,74800,2016,72.0
76,6.2,44,Grimsby - Agent trop spécial,74687,2016,62.0
77,7.2,79,Fences,74563,2016,72.0
78,7.9,81,Hunt for the Wilderpeople,73607,2016,79.0
79,7.4,77,The Edge of Seventeen,71314,2016,74.0
80,6.0,40,Ninja Turtles 2,70265,2016,60.0
81,6.2,34,Alice de l'autre côté du miroir,69795,2016,62.0
82,6.8,23,Beauté cachée,68375,2016,68.0
83,6.1,51,"Célibataire, mode d'emploi",68185,2016,61.0
84,6.0,51,Hors contrôle,67725,2016,60.0
85,7.4,54,Eddie the Eagle,67385,2016,74.0
86,8.0,79,Sing Street,66671,2016,80.0
87,6.0,55,American Nightmare 3: Élections,66660,2016,60.0
88,5.6,49,Resident Evil: Chapitre final,66360,2016,56.0
89,7.4,69,Traque à Boston,65062,2016,74.0
90,6.3,43,Angry Birds: Le film,64100,2016,63.0
91,8.1,77,Logan,477640,2017,81.0
92,7.5,76,Wonder Woman,407765,2017,75.0
93,8.0,94,Dunkerque,384944,2017,80.0
94,7.3,85,Star Wars: Episode VIII - Les derniers Jedi,374593,2017,73.0
95,7.7,67,Les gardiens de la galaxie Vol. 2,373416,2017,77.0
96,7.9,74,Thor: Ragnarok,321390,2017,79.0
97,7.5,73,Spider-Man: Homecoming,318009,2017,75.0
98,7.7,84,Get Out,301260,2017,77.0
99,7.7,86,Baby Driver,295890,2017,77.0
100,8.1,81,Blade Runner 2049,289939,2017,81.0
101,7.5,69,Ça,271247,2017,75.0
102,6.7,45,Justice League,247124,2017,67.0
103,8.2,88,3 Billboards: Les panneaux de la vengeance,228428,2017,82.0
104,7.5,75,John Wick 2,226849,2017,75.0
105,7.4,87,La forme de l'eau,208099,2017,74.0
106,7.2,65,La Belle et la Bête,206286,2017,72.0
107,6.7,62,Kong: Skull Island,204096,2017,67.0
108,6.4,65,Alien: Covenant,197760,2017,64.0
109,6.6,39,Pirates des Caraïbes: la Vengeance de Salazar,193335,2017,66.0
110,6.8,44,Kingsman: Le cercle d'or,177090,2017,68.0
111,7.5,82,La planète des singes: Suprématie,168668,2017,75.0
112,8.5,81,Coco,168587,2017,85.0
113,6.7,56,Fast & Furious 8,159899,2017,67.0
114,6.6,54,Life: Origine inconnue,156327,2017,66.0
115,7.0,58,Jumanji: Bienvenue dans la jungle,156256,2017,70.0
116,6.4,52,Ghost in the Shell,151384,2017,64.0
117,6.8,41,Le roi Arthur: La légende d'Excalibur,146885,2017,68.0
118,6.6,52,Le crime de l'Orient-Express,134142,2017,66.0
119,5.5,34,La momie,131590,2017,55.0
120,6.9,47,Hitman & Bodyguard,128662,2017,69.0
121,6.4,29,Bright,125120,2017,64.0
122,7.8,73,Wind River,121759,2017,78.0
123,6.7,63,Atomic Blonde,120384,2017,67.0
124,7.5,94,Lady Bird,118521,2017,75.0
125,7.8,48,The Greatest Showman,117703,2017,78.0
126,6.7,75,Mother,115877,2017,67.0
127,6.5,51,Valérian et la Cité des Mille Planètes,115053,2017,65.0
128,8.0,93,Call Me by Your Name,103565,2017,80.0
129,5.6,37,Baywatch: Alerte à Malibu,101909,2017,56.0
130,7.3,75,"Lego Batman, le film",98943,2017,73.0
131,5.2,27,Transformers: The Last Knight,97123,2017,52.0
132,7.2,65,Barry Seal: American Traffic,96614,2017,72.0
133,7.4,75,Les heures sombres,94049,2017,74.0
134,5.7,34,La Tour sombre,88720,2017,57.0
135,7.6,77,"I, Tonya",86220,2017,76.0
136,7.6,86,The Big Sick,84136,2017,76.0
137,6.0,44,Power Rangers,81420,2017,60.0
138,7.3,67,T2 Trainspotting,81010,2017,73.0
139,7.1,78,Logan Lucky,80455,2017,71.0
140,6.3,50,Baby Boss,78123,2017,63.0
141,7.5,76,The Disaster Artist,76267,2017,75.0
142,8.0,66,Wonder,73160,2017,80.0
143,6.3,49,"Moi, moche et méchant 3",72551,2017,63.0
144,4.6,33,Cinquante nuances plus sombres,71258,2017,46.0
145,5.2,42,xXx: Reactivated,69175,2017,52.0
146,6.6,62,Annabelle 2: la création du mal,68882,2017,66.0
147,7.2,83,Pentagon Papers,68660,2017,72.0
148,7.6,60,Mary,66109,2017,76.0
149,6.9,47,Seven Sisters,62125,2017,69.0
150,7.0,55,The Foreigner,62056,2017,70.0
151,5.3,43,The Circle,60711,2017,53.0
152,7.5,71,Le grand jeu,59676,2017,75.0
153,7.4,75,Okja,59127,2017,74.0
154,7.1,73,Mise à mort du cerf sacré,58397,2017,71.0
155,5.4,21,Geostorm,57497,2017,54.0
156,4.6,43,Death Note,57482,2017,46.0
157,7.7,90,Phantom Thread,56025,2017,77.0
158,6.6,50,Braquage à l'ancienne,55787,2017,66.0
159,6.2,78,It Comes at Night,54719,2017,62.0
160,6.5,57,Happy Birthdead,54410,2017,65.0
161,7.6,92,The Florida Project,47439,2017,76.0
162,5.7,63,Downsizing,45632,2017,57.0
163,7.3,59,Shot Caller,45068,2017,73.0
164,6.8,59,Cars 3,44586,2017,68.0
165,6.7,77,Jessie,44223,2017,67.0
166,6.9,43,Mes vies de chien,43974,2017,69.0
167,6.2,45,American Assassin,43891,2017,62.0
168,5.8,39,Jigsaw,42519,2017,58.0
169,6.4,48,La montagne entre nous,40331,2017,64.0
170,3.1,12,Le Monde secret des Emojis,38698,2017,31.0
